"";"Issue";"Domain";"Project"
"1";"Naturschutz / Biodiversitaet";"Schutz aquatischer Lebensraeume";"Schaffung neuer Lebensraeume, Renaturierung oder Revitalisierung"
"2";"Raumplanung, Monitoring und Unterhalt";"Naturschutz";"Gewaesser- und Uferschutz"
"3";"Bauliche Massnahmen";"Raumplanung";"Ueberbauung von aquatischen Lebensraeumen"
"4";"Notfallplanung";"Planung in der Siedlungswasserwirtschaft";"Regulierung von Gewaesserniveaus und Steuerung von Schwall und Sunk"
"5";"Naturgefahren";"Monitoring";"Schutzwald"
"6";"";"Unterhalt";"Auenschutz"
"7";"";"Schutzinfrastruktur";"Raumplanungsinstrumente"
"8";"";"Renaturierungsmassnahmen";"Enteignungen und Ausgleich"
"9";"";"";"Ausscheidung von Gewaesserraeumen"
"10";"";"";"Ausarbeitung eines Entwaesserungsplans"
"11";"";"";"Ausarbeitung einer Gefahrenkarte oder eines Gefahrenkatasters fuer Hochwasserschutz"
"12";"";"";"Ausarbeitung eines Ereigniskatasters fuer Hochwasserschutz"
"13";"";"";"Ausarbeitung eines Schutzbautenkataster fuer Hochwasserschutz"
"14";"";"";"Messung"
"15";"";"";"Recherche"
"16";"";"";"Gewaesserunterhalt"
"17";"";"";"Verlegung gefaehrdete Bauten an sichere Orten"
"18";"";"";"Pruefung der Hochwassersicherheit von Staumauern"
"19";"";"";"Erstellung von Infrastruktur fuer den technischen Hochwasserschutz"
"20";"";"";"Schutz von Atommuelllagern vor Schaeden durch Wasser"
"21";"";"";"Schutz vor Schmelzwasser aus Gletscherschmelze"
"22";"";"";"Seeregulierung fuer Hochwasserschutz"
"23";"";"";"Alarmierung"
"24";"";"";"Notfallplan"
"25";"";"";"Hochwasserschutz"
